PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE
6011f57b30b6b30b0354d54b|Jibaku Shounen Hanako-kun|hanako-kun|-|Shōnen|Tankōbon|monthly|publishing|17|2021-04-14
6011f57b30b6b30b0354d54b|Jujutsu Kaisen|jujutsu-kaisen|-|Shōnen|Tankōbon|bimonthly|publishing|18|2020-09-09
6011f57b30b6b30b0354d54b|Junjo Romantica|junjo-romantica|-|Shōjo|Tankōbon|bimonthly|publishing|25|2018-10-24
6011f57b30b6b30b0354d54b|Jojo's Bizarre Adventure - Parte 1: Phantom Blood|jojos-bizarre-adventure-phantom-blood|-|Shōnen|Bunkoban|monthly|completed|3|2018-09-18
6011f57b30b6b30b0354d54b|Jojo's Bizarre Adventure - Parte 2: Battle Tendency|jojos-bizarre-adventure-battle-tendency|-|Shōnen|Bunkoban|monthly|completed|4|2018-10-24
6011f57b30b6b30b0354d54b|Jojo's Bizarre Adventure - Parte 3: Stardust Crusaders|jojos-bizarre-adventure-stardust-crusaders|-|Shōnen|Bunkoban|monthly|completed|10|2019-02-27
6011f57b30b6b30b0354d54b|Jojo's Bizarre Adventure - Parte 4: Diamond Is Unbreakable|jojos-bizarre-adventure-diamond-is-unbreakable|-|Shōnen|Bunkoban|monthly|completed|12|2019-12-25
6011f57b30b6b30b0354d54b|Jojo's Bizarre Adventure - Parte 5: Golden Wind|jojos-bizarre-adventure-golden-wind|-|Shōnen|Bunkoban|monthly|completed|10|2021-04-21
6011f57b30b6b30b0354d54b|Jojo's Bizarre Adventure - Parte 6: Stone Ocean|jojos-bizarre-adventure-stone-ocean|-|Shōnen|Bunkoban|monthly|publishing|11|2022-02-16
6011f57b30b6b30b0354d54b|Kaguya-sama: Love Is War|love-is-war|-|Seinen|Tankōbon|bimonthly|publishing|25|2020-09-02
6011f57b30b6b30b0354d54b|Kajika|kajika|-|Shōnen|Tankōbon|one-shot|completed|1|2020-07-08
6011f57b30b6b30b0354d54b|Kanata no Astra|kanata-no-astra|-|Shōnen|Tankōbon|bimonthly|completed|6|2020-06-10
6011f57b30b6b30b0354d54b|Katekyo Hitman ¡Reborn!|katekyo-hitman-reborn|-|Shōnen|Tankōbon|monthly|completed|42|2016-07-13
6011f57b30b6b30b0354d54b|Kaksura Akira|kaksura-akira|-|Shōnen|Tankōbon|one-shot|completed|1|2021-03-03
6011f57b30b6b30b0354d54b|Kill la Kill|kill-la-kill|-|Seinen|Tankōbon|monthly|completed|3|2016-04-27
6011f57b30b6b30b0354d54b|Kimetsu no Yaiba|kimetsu-no-yaiba|-|Shōnen|Tankōbon|monthly|completed|23|2020-03-01
6011f57b30b6b30b0354d54b|Kimi ni Todoke|kimi-ni-todoke|-|Shōjo|Tankōbon|monthly|completed|30|2016-06-08
6011f57b30b6b30b0354d54b|Kimi Ga Koi Ni Oboreru|kimi-ga-koi-ni-oboreru|-|Yaoi|Tankōbon|monthly|completed|3|2018-04-18
6011f57b30b6b30b0354d54b|Kimi Ga Koi Ni Ochiru|kimi-ga-koi-ni-ochiru|-|Yaio|Tankōbon|one-shot|completed|1|2018-02-21
6011f57b30b6b30b0354d54b|Kingdom Hearts|kingdom-hearts|-|Shōnen|Tankōbon|monthly|completed|4|2018-12-12
6011f57b30b6b30b0354d54b|Knights of Sidonia|knights-of-sidonia|-|Seinen|Tankōbon|monthly|completed|15|2016-09-01
6011f57b30b6b30b0354d54b|Koe no Katachi (Una Voz Silenciosa - A Silent Voice)|a-silent-voice|-|Shōnen|Tankōbon|bimonthly|completed|7|2018-03-07
6011f57b30b6b30b0354d54b|Kuroko no Basket|kuroko-no-basket|-|Shōnen|Tankōbon|monthly|completed|30|2018-02-28
6011f57b30b6b30b0354d54b|La Bella y la Bestia|la-bella-y-la-bestia|-|Shōjo|Tankōbon|monthly|completed|2|2018-09-26
6011f57b30b6b30b0354d54b|La Rosa y la Bestia|la-rosa-y-la-bestia|-|Shōjo|Tankōbon|bimonthly|completed|10|2019-09-18
6011f57b30b6b30b0354d54b|Las Quintillizas (Go-toubun no Hanayome)|las-quintillizas|-|Shōnen|Tankōbon|bimonthly|completed|14|2019-12-18
6011f57b30b6b30b0354d54b|Little Witch Academia|little-witch-academia|-|Seinen|Tankōbon|bimonthly|completed|3|2018-08-29
6011f57b30b6b30b0354d54b|Lone Wolf|lone-wolf|-|Seinen|Bunkoban|monthly|completed|26|2019-01-09
6011f57b30b6b30b0354d54b|Love Hina|love-hina|-|Shōnen|Shinsōban|bimonthly|completed|7|2019-04-24
6011f57b30b6b30b0354d54b|Love Stage|love-stage|-|Yaoi|Tankōbon|bimonthly|completed|7|2018-05-30
6011f57b30b6b30b0354d54b|Lovely Complex|lovely-complex|-|Shōjo|Tankōbon|bimonthly|publishing|17|2020-08-19
6011f57b30b6b30b0354d54b|Made In Abyss|made-in-abyss|-|Seinen|Tankōbon|bimonthly|completed|10|2019-02-19
6011f57b30b6b30b0354d54b|Magi (The Labyrinth Of Magi)|magi|-|Shōnen|Tankōbon|monthly|completed|37|2017-02-15
6011f57b30b6b30b0354d54b|Marry Grave|marry-grave|-|Shōnen|Tankōbon|monthly|completed|5|2020-07-01
6011f57b30b6b30b0354d54b|Mao|mao|-|Shōnen|Tankōbon|bimonthly|publishing|12|2021-06-16
6011f57b30b6b30b0354d54b|Mob Psycho 100|mob-psycho-100|-|Shōnen|Tankōbon|bimonthly|publishing|16|2019-09-25
6011f57b30b6b30b0354d54b|Monster|monster|-|Seinen|Kanzenban|bimonthly|completed|9|2018-10-24
6011f57b30b6b30b0354d54b|My Hero Academia|my-hero-academia|-|Shōnen|Tankōbon|monthly|publishing|33|2016-09-14
6011f57b30b6b30b0354d54b|My Little Monster|my-little-monster|-|Shōjo|Tankōbon|bimonthly|completed|13|2018-03-14
6011f57b30b6b30b0354d54b|Naruto|naruto|-|Shōnen|Tankōbon|monthly|completed|72|2014-12-03
6011f57b30b6b30b0354d54b|Naruto Gaiden|naruto-gaiden|-|Shōnen|Tankōbon|one-shot|completed|1|2021-08-11
6011f57b30b6b30b0354d54b|Naruto Rin No Sho|naruto-rin-no-sho|-|Guide|Tankōbon|one-shot|completed|1|2020-10-18
6011f57b30b6b30b0354d54b|Naruto Hyo no Sho|naruto-hyo-no-sho|-|Guide|Tankōbon|one-shot|completed|1|2021-07-07
6011f57b30b6b30b0354d54b|Naruto Tou No Cho|naruto-tou-no-cho|-|Guide|Tankōbon|one-shot|completed|1|2021-12-01
6011f57b30b6b30b0354d54b|Nisekoi|nisekoi|-|Shōnen|Tankōbon|monthly|completed|25|2016-06-22
6011f57b30b6b30b0354d54b|Negima!|negima|-|Shōnen|Tankōbon|monthly|completed|19|2019-02-06
6011f57b30b6b30b0354d54b|Nekomajin|nekomajin|-|Shōnen|Tankōbon|one-shot|completed|1|2020-08-05
6011f57b30b6b30b0354d54b|Neon Genesis Evangelion|neon-genesis-evangelion|-|Seinen|Tankōbon|monthly|completed|14|2016-07-13
6011f57b30b6b30b0354d54b|Noragami|noragami|-|Shōnen|Tankōbon|monthly|publishing|24|2017-07-26
6011f57b30b6b30b0354d54b|Omoi Omoware Furi Furare (FuriFura: Amores y Desengaños)|furifura|-|Shōjo|Tankōbon|monthly|completed|12|2019-05-01
6011f57b30b6b30b0354d54b|One Piece|one-piece|-|Shōnen|Tankōbon|monthly|publishing|101|2015-02-25
6011f57b30b6b30b0354d54b|One Piece BLUE|one-piece-blue|-|Guide|Tankōbon|one-shot|completed|1|2021-01-20
6011f57b30b6b30b0354d54b|One Piece BLUE DEEP|one-piece-blue-deep|-|Guide|Tankōbon|one-shot|completed|1|2022-04-06
6011f57b30b6b30b0354d54b|One Piece GREEN|one-piece-green|-|Guide|Tankōbon|one-shot|completed|1|2021-10-13
6011f57b30b6b30b0354d54b|One Piece RED|one-piece-red|-|Guide|Tankōbon|one-shot|completed|1|2020-09-23
6011f57b30b6b30b0354d54b|One Piece YELLOW|one-piece-yellow|-|Guide|Tankōbon|one-shot|completed|1|2021-06-16
6011f57b30b6b30b0354d54b|One Piece WANTED|one-piece-wanted|-|Shōnen|Tankōbon|one-shot|completed|1|2021-09-08
6011f57b30b6b30b0354d54b|One-Punch Man|one-punch-man|-|Seinen|Tankōbon|monthly|publishing|24|2016-06-01
6011f57b30b6b30b0354d54b|One Week Friends|one-week-friends|-|Shōnen|Tankōbon|monthly|completed|7|2016-10-26
6011f57b30b6b30b0354d54b|Orange|orange|-|Shōjo|Tankōbon|bimonthly|completed|6|2017-03-09
6011f57b30b6b30b0354d54b|Ore Monogatari!!|ore-monogatari|-|Shōjo|Tankōbon|bimonthly|completed|13|2017-09-06
6011f57b30b6b30b0354d54b|Origin|origin|-|Seinen|Tankōbon|bimonthly|completed|10|2020-01-22
6011f57b30b6b30b0354d54b|Ouran High-School Host Club|ouran-high-school-host-club|-|Shōjo|Tankōbon|monthly|completed|15|2014-06-04
6011f57b30b6b30b0354d54b|Overlord|overlord|-|Seinen|Tankōbon|bimonthly|publishing|15|2019-03-13
6011f57b30b6b30b0354d54b|Oyasumi Punpun|oyasumi-punpun|-|Seinen|Tankōbon|bimonthly|publishing|13|2020-06-30
6011f57b30b6b30b0354d54b|Pandora Hearts|pandora-hearts|-|Shōnen|Tankōbon|monthly|publishing|24|2021-06-09
6011f57b30b6b30b0354d54b|Paradise Kiss|paradise-kiss|-|Josei|Tankōbon|bimonthly|publishing|5|2021-09-01
6011f57b30b6b30b0354d54b|Platinum End|platinum-end|-|Shōnen|Tankōbon|bimonthly|completed|14|2018-06-13
6011f57b30b6b30b0354d54b|Plunderer|plunderer|-|Shōnen|Tankōbon|bimonthly|publishing|20|2019-01-30
6011f57b30b6b30b0354d54b|Pokémon Black And White|pokemon-black-and-white|-|Shōnen|Tankōbon|monthly|completed|9|2016-04-06
6011f57b30b6b30b0354d54b|Pokemón Fire Red And Leaf Green|pokemon-fire-red-and-leaf-green|-|Shōnen|Tankōbon|bimonthly|completed|3|2021-09-11
6011f57b30b6b30b0354d54b|Pokémon Gold And Silver|pokemon-gold-and-silver|-|Shōnen|Tankōbon|bimonthly|completed|7|2018-04-25
6011f57b30b6b30b0354d54b|Pokémon Red, Green And Blue|pokemon-red-green-and-blue|-|Shōnen|Tankōbon|monthly|completed|3|2017-03-01
6011f57b30b6b30b0354d54b|Pokémon Ruby And Sapphire|pokemon-ruby-and-sapphire|-|Shōnen|Tankōbon|bimonthly|completed|8|2019-07-24
6011f57b30b6b30b0354d54b|Pokémon Yellow|pokemon-yellow|-|Shōnen|Tankōbon|bimonthly|completed|4|2017-08-09
6011f57b30b6b30b0354d54b|Psychic Detective Yakumo|psychic-detective-yakumo|-|Shōjo|Tankōbon|monthly|completed|14|2015-08-19
6011f57b30b6b30b0354d54b|Psycho Pass|psycho-pass|-|Shōnen|Tankōbon|bimonthly|completed|6|2019-12-04
6011f57b30b6b30b0354d54b|Quiero Tocar Tu Uniforme|quiero-tocar-tu-uniforme|-|Yaoi|Tankōbon|monthly|completed|2|2021-11-14
6011f57b30b6b30b0354d54b|Radiant|radiant|-|Shōnen|Tankōbon|bimonthly|publishing|15|2019-05-22
6011f57b30b6b30b0354d54b|Ranma 1/2|ranma-½|-|Shōnen|Tankōbon|monthly|completed|38|2017-03-01
6011f57b30b6b30b0354d54b|Rent-A-Girlfriend|rent-a-girlfriend|-|Shōnen|Tankōbon|monthly|publishing|25|2021-06-23
6011f57b30b6b30b0354d54b|Re:Zero (Chapter one)|re-zero-chapter-one|-|Shōnen|Tankōbon|monthly|completed|2|2018-07-04
6011f57b30b6b30b0354d54b|Re:Zero (Chapter two)|re-zero-chapter-two|-|Shōnen|Tankōbon|bimonthly|completed|5|2019-03-06
6011f57b30b6b30b0354d54b|Re:Zero (Chapter three)|re-zero-chapter-three|-|Shōnen|Tankōbon|bimonthly|completed|11|2020-04-01
6011f57b30b6b30b0354d54b|Resident Evil: Marhawa Desire|resident-evil|-|Shōnen|Tankōbon|monthly|completed|5|2015-10-18
6011f57b30b6b30b0354d54b|Rock Lee no Seishun Full-Power Ninden|rock-lee|-|Shōnen|Tankōbon|bimonthly|completed|7|2020-07-15
6011f57b30b6b30b0354d54b|Rosario + Vampire|rosario-vampire|-|Shōnen|Tankōbon|bimonthly|completed|10|2017-02-08
6011f57b30b6b30b0354d54b|Rosario + Vampire Season II|rosario-vampire-season-2|-|Shōnen|Tankōbon|bimonthly|publishing|14|2020-09-02
6011f57b30b6b30b0354d54b|Rooster Fighter|rooster-fighter|-|Seinen|Tankōbon|undefined|publishing|2|2021-08-28
6011f57b30b6b30b0354d54b|Rin-ne (Kyoukai no Rinne)|rin-ne|-|Shōnen|Tankōbon|bimonthly|completed|40|2017-01-18
6011f57b30b6b30b0354d54b|Ruroni Kenshin (Samurai X)|ruroni-kenshin|-|Shōnen|Kanzenban|bimonthly|publishing|22|2020-02-19
6011f57b30b6b30b0354d54b|Sailor Moon|sailor-moon|-|Shōjo|Tankōbon|monthly|completed|12|2015-09-09
6011f57b30b6b30b0354d54b|Sailor Moon: Short Stories|sailor-moon-short-stories|-|Shōjo|Tankōbon|monthly|completed|2|2017-02-22
6011f57b30b6b30b0354d54b|Sailor V|sailor-v|-|Shōjo|Tankōbon|monthly|completed|2|2017-04-26
6011f57b30b6b30b0354d54b|Saint Seiya|saint-seiya|-|Shōnen|Kanzenban|monthly|completed|22|2018-08-15
6011f57b30b6b30b0354d54b|Saint Seiya: Saintia Shō|saint-seiya-saintia-sho|-|Seinen|Tankōbon|bimonthly|publishing|16|2019-02-16
6011f57b30b6b30b0354d54b|Saint Seiya: The Lost Canvas|saint-seiya-the-lost-canvas|-|Shōnen|Tankōbon|bimonthly|completed|25|2014-03-14
6011f57b30b6b30b0354d54b|Saint Seiya: The Lost Canvas Gaiden|saint-seiya-the-lost-canvas-gaiden|-|Shōnen|Tankōbon|monthly|completed|16|2017-03-22
6011f57b30b6b30b0354d54b|Sakamoto desu ga?|sakamoto-desu-ga|-|Seinen|Tankōbon|bimonthly|completed|4|2017-04-12
6011f57b30b6b30b0354d54b|SandLand|sandland|-|Shōnen|Tankōbon|one-shot|completed|1|2020-10-14
6011f57b30b6b30b0354d54b|Samurai 7|samurai-7|-|Shōnen|Tankōbon|monthly|completed|2|2016-08-24
6011f57b30b6b30b0354d54b|Seraph of the End|seraph-of-the-end|-|Shōnen|Tankōbon|bimonthly|publishing|26|2017-11-01
6011f57b30b6b30b0354d54b|Shaman King [Complete Edition]|shaman-king|-|Shōnen|Tankōbon|monthly|publishing|35|2020-10-28
6011f57b30b6b30b0354d54b|Sherlock|sherlock|-|Seinen|Tankōbon|quarterly|completed|4|2017-05-24
