PUBLISHER|TITLE|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM URL|PUBLISHER URL
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce04f|Platinum End|platinum-end|-|Shōnen|Tankōbon|manga|bimonthly|completed|14|2018-06-13|Dark Fantasy, Supernatural Thriller|Writer: Tsugumi Ohba; Illustrator: Takeshi Obata|/ediciones/504052/platinum_end-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce050|Plunderer|plunderer|-|Shōnen|Tankōbon|manga|bimonthly|ongoing|20|2019-01-30|Action, Fantasy|Author: Suu Minazuki|/ediciones/526164/plunderer-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?price=109-229&product_list_order=name&q=Plunderer
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce051|Pokémon Black And White|pokemon-black-and-white|-|Shōnen|Tankōbon|manga|monthly|completed|9|2016-04-06|Adventure, Fantasy|Writer: Hidenori Kusaka; Illustrator: Satoshi Yamamoto|/ediciones/399035/pokemon_black_y_white-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce052|Pokemón Fire Red And Leaf Green|pokemon-fire-red-and-leaf-green|-|Shōnen|Tankōbon|manga|bimonthly|completed|3|2021-09-11|Adventure, Fantasy|Writer: Hidenori Kusaka; Illustrator: Satoshi Yamamoto|/ediciones/604165/pokemon_firered_y_leafgreen-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce053|Pokémon Gold And Silver|pokemon-gold-and-silver|-|Shōnen|Tankōbon|manga|bimonthly|completed|7|2018-04-25|Adventure, Fantasy|Writer: Hidenori Kusaka; Illustrator: Mato|/ediciones/505173/pokemon_gold_y_silver-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce054|Pokémon Red, Green And Blue|pokemon-red-green-and-blue|-|Shōnen|Tankōbon|manga|monthly|completed|3|2017-03-01|Adventure, Fantasy|Writer: Hidenori Kusaka; Illustrator: Mato|/ediciones/410036/pokemon_red_green_blue-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce055|Pokémon Ruby And Sapphire|pokemon-ruby-and-sapphire|-|Shōnen|Tankōbon|manga|bimonthly|completed|8|2019-07-24|Adventure, Fantasy|Writer: Hidenori Kusaka; Illustrator: Satoshi Yamamoto|/ediciones/529383/pokemon_ruby_y_sapphire-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce056|Pokémon Yellow|pokemon-yellow|-|Shōnen|Tankōbon|manga|bimonthly|completed|4|2017-08-09|Adventure, Fantasy|Writer: Hidenori Kusaka, Illustrator: Mato|/ediciones/484897/pokemon_yellow-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce057|Psychic Detective Yakumo|psychic-detective-yakumo|-|Shōjo|Tankōbon|manga|monthly|completed|14|2015-08-19|Horror, Mystery, Romance, Supernatural|Writer: Manabu Kaminaga; Illustrator: Suzuka Oda|/ediciones/393875/psychic_detective_yakumo-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce058|Psycho Pass|psycho-pass|-|Shōnen|Tankōbon|manga|bimonthly|completed|6|2019-12-04|Crime, Cyberpunk, Psychological Thriller|Author: Hikaru Miyoshi|/ediciones/564709/inspector_akane_tsunemori_-_psycho-pass-rustica_con_sobrecubierta/todos|-
